RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
C1     	CAA1003  	CAP_0603_S4C      	72.474        	2.15          	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	47.38         	24.396        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	71.824        	16.483        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	72.042        	14.26         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	74.163        	2.164         	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	51.892        	23.302        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	62.412        	24.319        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	62.335        	26.128        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	62.345        	21.846        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	68.04         	1.905         	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	76.351        	14.376        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	68.307        	27.649        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	58.424        	1.405         	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	76.236        	25.131        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	43.221        	3.148         	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	75.76         	1.8           	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	68.993        	28.642        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	41.937        	25.007        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	42.166        	2.14          	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	56.534        	28.515        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	51.711        	5.368         	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	51.72         	8.902         	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	66.219        	19.969        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	56.498        	28.161        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	74.921        	24.253        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	75.64         	8.611         	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	60.153        	29.167        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	42.576        	29.119        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	42.694        	26.456        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	53.832        	28.387        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	51.297        	28.442        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	72.047        	27.932        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	51.892        	21.745        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	66.462        	29.223        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	52.293        	2.683         	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	54.515        	5.179         	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	50.295        	25.967        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	51.74         	11.576        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	57.434        	9.66          	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	59.561        	26.552        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	72.084        	8.703         	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	46.631        	26.962        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	62.44         	24.283        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	112.574       	2.15          	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	87.48         	24.396        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	111.924       	16.483        	Bottom 	180.0    	100nF 10% 50V  	            	                 
