RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
D2     	DIO0001  	SOD-123FL_S4C     	76.351        	46.856        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	68.307        	60.129        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	58.424        	33.885        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	76.236        	57.611        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	43.221        	35.628        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	75.76         	34.28         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	68.993        	61.122        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	41.937        	57.487        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	42.166        	34.62         	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	56.534        	60.995        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	51.711        	37.848        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	51.72         	41.382        	Top    	180.0    	NX7002AK       	            	                 
